iter	Passed	Remaining
0	148	148683
1	150	75250
2	152	50679
3	154	38359
4	155	30962
5	156	25977
6	159	22637
7	161	20048
8	163	18013
9	164	16326
10	166	14950
11	167	13822
12	169	12864
13	170	12030
14	172	11337
15	174	10753
16	176	10202
17	177	9705
18	179	9261
19	180	8860
20	182	8493
21	183	8161
22	185	7863
23	186	7600
24	188	7358
25	190	7124
26	191	6898
27	193	6700
28	194	6511
29	196	6338
30	197	6179
31	199	6023
32	201	5898
33	202	5760
34	204	5625
35	205	5502
36	207	5388
37	208	5286
38	210	5188
39	212	5100
40	214	5013
41	216	4933
42	217	4845
43	219	4766
44	220	4689
45	222	4616
46	224	4545
47	226	4485
48	228	4425
49	230	4370
50	231	4309
51	233	4254
52	235	4202
53	237	4153
54	238	4105
55	240	4052
56	242	4006
57	244	3969
58	245	3922
59	247	3876
60	248	3830
61	250	3787
62	252	3748
63	253	3713
64	255	3678
65	257	3647
66	259	3609
67	260	3573
68	262	3537
69	263	3499
70	264	3465
71	266	3432
72	267	3399
73	269	3370
74	271	3346
75	273	3322
76	274	3291
77	276	3265
78	277	3235
79	278	3207
80	280	3178
81	281	3152
82	282	3120
83	284	3100
84	286	3081
85	287	3058
86	289	3033
87	290	3010
88	291	2988
89	293	2967
90	294	2945
91	296	2924
92	298	2906
93	299	2889
94	301	2869
95	302	2847
96	303	2825
97	304	2803
98	305	2782
99	306	2762
100	308	2742
101	309	2722
102	310	2702
103	311	2683
104	313	2671
105	314	2655
106	316	2637
107	317	2618
108	318	2600
109	319	2583
110	320	2567
111	321	2550
112	322	2534
113	324	2518
114	325	2502
115	326	2485
116	327	2469
117	328	2458
118	330	2443
119	331	2428
120	332	2415
121	333	2400
122	334	2386
123	336	2373
124	337	2360
125	338	2348
126	339	2333
127	341	2324
128	342	2315
129	344	2304
130	345	2292
131	347	2282
132	348	2271
133	349	2261
134	351	2254
135	353	2244
136	354	2235
137	356	2228
138	358	2222
139	360	2213
140	362	2206
141	363	2194
142	364	2184
143	365	2174
144	366	2163
145	368	2154
146	370	2147
147	371	2141
148	373	2132
149	375	2125
150	376	2118
151	378	2108
152	379	2100
153	380	2090
154	382	2083
155	384	2080
156	386	2073
157	387	2065
158	388	2057
159	390	2051
160	391	2042
161	393	2036
162	394	2028
163	396	2021
164	398	2018
165	400	2014
166	402	2009
167	404	2003
168	406	1997
169	407	1990
170	409	1986
171	411	1982
172	413	1977
173	415	1974
174	418	1970
175	419	1964
176	421	1958
177	422	1951
178	424	1947
179	426	1943
180	430	1948
181	432	1945
182	434	1940
183	436	1937
184	439	1935
185	442	1936
186	445	1935
187	447	1932
188	450	1931
189	451	1926
190	455	1927
191	458	1929
192	461	1931
193	463	1926
194	465	1920
195	467	1915
196	469	1915
197	473	1917
198	476	1918
199	478	1913
200	479	1907
201	481	1903
202	486	1909
203	489	1908
204	490	1904
205	492	1899
206	494	1895
207	499	1901
208	501	1899
209	504	1898
210	507	1898
211	509	1894
212	518	1914
213	521	1914
214	523	1909
215	525	1905
216	530	1913
217	533	1914
218	536	1912
219	537	1906
220	539	1902
221	544	1907
222	547	1909
223	549	1905
224	551	1901
225	554	1898
226	557	1900
227	561	1900
228	564	1900
229	566	1895
230	567	1890
231	570	1888
232	574	1891
233	578	1892
234	580	1888
235	581	1884
236	584	1881
237	587	1879
238	589	1877
239	591	1873
240	593	1868
241	595	1866
242	599	1866
243	601	1862
244	603	1861
245	605	1855
246	607	1851
247	609	1847
248	611	1843
249	614	1843
250	616	1839
251	618	1836
252	623	1841
253	627	1843
254	631	1844
255	632	1839
256	648	1873
257	652	1876
258	659	1885
259	661	1884
260	664	1880
261	666	1877
262	668	1874
263	670	1869
264	677	1877
265	679	1876
266	683	1875
267	685	1873
268	688	1870
269	691	1869
270	696	1872
271	709	1897
272	712	1897
273	715	1897
274	722	1905
275	727	1907
276	729	1902
277	731	1900
278	736	1903
279	739	1900
280	741	1896
281	743	1894
282	745	1889
283	747	1885
284	751	1885
285	753	1882
286	757	1882
287	760	1879
288	764	1880
289	767	1878
290	768	1873
291	770	1869
292	774	1868
293	776	1864
294	781	1868
295	783	1864
296	785	1860
297	788	1857
298	791	1856
299	797	1860
300	799	1856
301	801	1853
302	804	1849
303	806	1846
304	809	1844
305	813	1844
306	815	1839
307	820	1842
308	822	1838
309	824	1834
310	826	1832
311	829	1828
312	831	1824
313	833	1820
314	834	1815
315	836	1811
316	839	1808
317	842	1806
318	844	1802
319	846	1799
320	848	1794
321	850	1790
322	852	1786
323	855	1785
324	860	1787
325	862	1783
326	864	1779
327	866	1775
328	868	1771
329	871	1770
330	875	1769
331	877	1765
332	879	1761
333	882	1759
334	885	1757
335	887	1754
336	890	1751
337	891	1746
338	893	1742
339	895	1737
340	897	1734
341	899	1730
342	901	1727
343	903	1723
344	905	1719
345	908	1716
346	911	1715
347	915	1715
348	919	1715
349	921	1711
350	925	1711
351	928	1709
352	931	1706
353	936	1708
354	939	1706
355	941	1703
356	946	1704
357	949	1703
358	952	1701
359	954	1697
360	956	1693
361	961	1693
362	965	1694
363	968	1691
364	970	1688
365	973	1685
366	977	1686
367	980	1684
368	983	1681
369	985	1678
370	991	1680
371	993	1678
372	996	1674
373	997	1670
374	999	1665
375	1001	1661
376	1003	1659
377	1007	1657
378	1010	1656
379	1012	1651
380	1014	1648
381	1016	1643
382	1018	1641
383	1021	1638
384	1024	1636
385	1026	1632
386	1028	1628
387	1030	1624
388	1031	1620
389	1034	1617
390	1037	1615
391	1039	1611
392	1040	1607
393	1043	1604
394	1045	1600
395	1048	1599
396	1051	1597
397	1053	1592
398	1054	1588
399	1056	1584
400	1058	1580
401	1059	1576
402	1064	1576
403	1067	1575
404	1069	1571
405	1071	1568
406	1073	1564
407	1076	1561
408	1078	1558
409	1080	1554
410	1082	1551
411	1083	1547
412	1085	1542
